J602_1.RCP 65 [1, 2, 3, 7, 10, 4, 5, 6, 11, 29, 9, 14, 8, 18, 30, 17, 35, 24, 41, 23, 21, 15, 12, 20, 45, 33, 42, 13, 16, 44, 31, 26, 32, 27, 39, 37, 52, 43, 34, 51, 47, 38, 48, 28, 58, 53, 54, 22, 57, 25, 46, 19, 36, 40, 49, 55, 61, 50, 60, 56, 59, 62]
J602_10.RCP 69 [1, 2, 3, 4, 7, 5, 12, 9, 6, 8, 11, 14, 20, 16, 21, 36, 15, 27, 33, 18, 26, 42, 19, 34, 43, 37, 13, 29, 39, 47, 40, 35, 22, 38, 44, 31, 32, 49, 50, 23, 25, 41, 28, 45, 53, 52, 55, 24, 30, 56, 48, 46, 57, 61, 54, 51, 10, 58, 17, 59, 60, 62]
J602_2.RCP 82 [1, 3, 2, 4, 5, 10, 7, 22, 9, 6, 8, 11, 23, 15, 12, 29, 14, 19, 35, 40, 13, 17, 16, 18, 24, 20, 30, 25, 38, 21, 44, 31, 36, 32, 52, 28, 26, 27, 37, 53, 39, 54, 41, 56, 33, 55, 42, 50, 58, 34, 43, 47, 45, 46, 49, 51, 57, 48, 59, 61, 60, 62]
J602_3.RCP 78 [1, 3, 2, 6, 23, 4, 10, 7, 12, 11, 26, 9, 8, 39, 18, 31, 17, 58, 25, 21, 13, 19, 36, 20, 16, 22, 27, 33, 15, 46, 40, 37, 24, 34, 50, 45, 5, 28, 53, 29, 51, 38, 41, 43, 14, 30, 35, 54, 42, 44, 48, 52, 32, 47, 61, 57, 55, 56, 49, 60, 59, 62]
J602_4.RCP 78 [1, 4, 3, 2, 5, 8, 6, 20, 14, 30, 16, 23, 9, 7, 42, 12, 32, 24, 46, 39, 11, 10, 31, 33, 13, 25, 38, 17, 19, 26, 53, 43, 18, 41, 21, 34, 52, 48, 35, 15, 28, 44, 22, 45, 55, 49, 36, 50, 59, 27, 37, 47, 51, 29, 56, 57, 54, 58, 61, 40, 60, 62]
J602_5.RCP 54 [1, 4, 3, 2, 9, 8, 15, 10, 6, 14, 16, 13, 17, 21, 18, 29, 25, 12, 7, 19, 26, 32, 30, 5, 33, 35, 41, 37, 38, 22, 20, 51, 24, 28, 43, 27, 36, 39, 44, 34, 42, 45, 23, 31, 11, 40, 49, 50, 47, 56, 57, 53, 55, 52, 46, 54, 60, 48, 58, 61, 59, 62]
J602_6.RCP 64 [1, 4, 3, 5, 2, 9, 6, 7, 17, 15, 14, 12, 18, 20, 13, 23, 19, 25, 26, 40, 16, 37, 8, 30, 24, 32, 42, 50, 10, 35, 27, 21, 46, 41, 31, 47, 38, 39, 45, 43, 53, 11, 22, 33, 28, 34, 29, 49, 48, 52, 57, 58, 36, 44, 56, 51, 55, 54, 59, 61, 60, 62]
J602_7.RCP 53 [1, 2, 3, 13, 6, 5, 4, 20, 7, 8, 25, 16, 31, 30, 15, 18, 11, 17, 10, 26, 12, 22, 14, 29, 28, 19, 42, 9, 21, 38, 36, 45, 34, 44, 32, 24, 23, 37, 35, 41, 33, 49, 52, 50, 39, 51, 47, 43, 27, 40, 58, 54, 46, 56, 55, 53, 48, 61, 57, 59, 60, 62]
J602_8.RCP 66 [1, 4, 3, 2, 6, 11, 7, 10, 15, 14, 9, 58, 24, 5, 19, 16, 20, 38, 22, 40, 26, 28, 36, 12, 18, 25, 21, 13, 32, 29, 35, 34, 46, 23, 31, 48, 27, 44, 30, 37, 49, 51, 41, 47, 42, 56, 43, 33, 55, 50, 39, 57, 45, 53, 52, 8, 59, 17, 54, 61, 60, 62]
J602_9.RCP 65 [1, 3, 4, 20, 8, 6, 39, 14, 2, 23, 15, 26, 5, 9, 13, 28, 27, 19, 11, 21, 18, 24, 33, 46, 25, 22, 10, 7, 29, 40, 34, 17, 31, 43, 16, 35, 30, 36, 41, 12, 47, 44, 48, 52, 49, 57, 50, 38, 53, 42, 58, 37, 32, 59, 51, 60, 54, 45, 56, 55, 61, 62]
