J602_1.RCP 65 [1, 3, 4, 10, 7, 2, 6, 5, 11, 9, 8, 14, 24, 23, 18, 30, 17, 12, 15, 13, 35, 37, 20, 33, 16, 45, 21, 26, 31, 44, 29, 27, 32, 51, 22, 39, 52, 42, 46, 57, 43, 19, 34, 40, 25, 38, 41, 47, 48, 58, 53, 54, 28, 49, 55, 36, 50, 56, 61, 59, 60, 62]
J602_10.RCP 69 [1, 3, 4, 2, 7, 5, 9, 12, 8, 6, 26, 21, 16, 27, 20, 11, 34, 33, 18, 19, 15, 42, 38, 37, 29, 31, 36, 14, 43, 39, 13, 40, 47, 45, 50, 41, 22, 44, 23, 32, 25, 35, 49, 28, 53, 24, 46, 48, 30, 55, 52, 17, 57, 56, 51, 54, 10, 60, 61, 58, 59, 62]
J602_2.RCP 82 [1, 2, 4, 3, 5, 9, 6, 8, 7, 29, 14, 22, 40, 19, 11, 23, 12, 15, 36, 20, 30, 16, 35, 17, 31, 32, 18, 21, 50, 25, 38, 24, 44, 27, 26, 28, 42, 39, 41, 34, 37, 13, 52, 33, 54, 56, 53, 45, 55, 47, 58, 43, 10, 46, 49, 57, 51, 59, 48, 60, 61, 62]
J602_3.RCP 78 [1, 3, 2, 6, 4, 23, 10, 7, 58, 11, 9, 12, 8, 21, 31, 26, 17, 25, 20, 18, 5, 13, 15, 19, 16, 33, 22, 27, 39, 46, 37, 24, 36, 14, 28, 30, 34, 29, 50, 45, 40, 32, 53, 41, 52, 43, 38, 42, 35, 44, 48, 54, 47, 51, 49, 56, 57, 61, 55, 60, 59, 62]
J602_4.RCP 78 [1, 2, 3, 4, 14, 5, 24, 42, 20, 12, 7, 6, 23, 32, 8, 34, 16, 9, 10, 13, 17, 30, 25, 28, 21, 38, 31, 41, 33, 46, 35, 53, 15, 22, 11, 19, 44, 45, 27, 43, 29, 48, 40, 37, 52, 26, 49, 18, 39, 50, 51, 47, 36, 57, 55, 56, 54, 61, 59, 58, 60, 62]
J602_5.RCP 54 [1, 4, 3, 9, 2, 6, 8, 10, 16, 12, 21, 17, 13, 15, 19, 7, 26, 20, 30, 14, 22, 51, 5, 25, 18, 32, 24, 35, 37, 28, 41, 29, 27, 43, 36, 38, 23, 44, 31, 39, 42, 34, 45, 33, 49, 47, 50, 56, 40, 11, 53, 52, 54, 57, 46, 55, 48, 60, 58, 61, 59, 62]
J602_6.RCP 64 [1, 4, 2, 3, 9, 5, 6, 7, 23, 15, 13, 8, 14, 17, 12, 18, 25, 10, 19, 37, 46, 24, 20, 16, 49, 35, 27, 42, 32, 30, 11, 40, 31, 47, 28, 21, 50, 52, 38, 33, 39, 53, 22, 45, 36, 58, 29, 55, 56, 57, 26, 34, 43, 41, 48, 44, 54, 59, 51, 60, 61, 62]
J602_7.RCP 53 [1, 2, 3, 13, 4, 5, 6, 8, 7, 25, 30, 18, 14, 11, 10, 20, 22, 16, 45, 21, 9, 23, 15, 32, 42, 17, 26, 29, 44, 19, 24, 28, 31, 49, 36, 41, 35, 46, 12, 34, 37, 47, 38, 52, 43, 27, 33, 50, 39, 51, 40, 56, 58, 54, 53, 61, 48, 55, 57, 60, 59, 62]
J602_8.RCP 66 [1, 2, 4, 3, 6, 10, 7, 9, 14, 5, 11, 15, 22, 18, 24, 19, 16, 12, 36, 21, 26, 35, 20, 34, 25, 40, 32, 13, 31, 8, 44, 23, 48, 46, 27, 47, 41, 49, 38, 28, 37, 33, 17, 29, 42, 50, 51, 30, 39, 56, 43, 45, 55, 52, 53, 61, 57, 59, 58, 54, 60, 62]
J602_9.RCP 65 [1, 3, 4, 20, 2, 8, 14, 6, 5, 23, 13, 15, 39, 7, 18, 10, 9, 26, 30, 24, 12, 27, 11, 21, 16, 33, 46, 52, 28, 19, 17, 40, 57, 22, 34, 29, 47, 36, 25, 35, 43, 41, 48, 32, 31, 44, 38, 50, 42, 59, 53, 49, 58, 45, 51, 56, 60, 37, 54, 55, 61, 62]
J603_1.RCP 60 [1, 2, 3, 4, 5, 6, 15, 24, 13, 7, 16, 25, 20, 21, 14, 23, 29, 11, 28, 26, 30, 34, 17, 27, 45, 12, 31, 10, 49, 36, 39, 47, 32, 8, 48, 35, 41, 40, 51, 50, 33, 37, 44, 46, 43, 9, 52, 18, 38, 19, 54, 53, 22, 55, 58, 57, 59, 42, 61, 56, 60, 62]
