J306_5.RCP 67 [1, 4, 2, 6, 12, 3, 11, 18, 8, 5, 9, 13, 7, 14, 15, 10, 21, 20, 16, 22, 17, 19, 28, 24, 23, 27, 25, 26, 31, 30, 29, 32]
J306_6.RCP 37 [1, 4, 3, 2, 5, 13, 17, 9, 6, 11, 21, 22, 14, 10, 16, 15, 7, 23, 25, 19, 26, 8, 20, 24, 27, 18, 12, 29, 28, 31, 30, 32]
J306_7.RCP 47 [1, 3, 4, 11, 5, 8, 6, 12, 9, 14, 16, 10, 2, 28, 21, 17, 15, 13, 24, 26, 20, 7, 23, 19, 25, 22, 27, 18, 30, 29, 31, 32]
J306_8.RCP 39 [1, 4, 3, 2, 10, 5, 14, 6, 15, 7, 8, 19, 12, 18, 17, 9, 26, 16, 13, 23, 20, 24, 25, 22, 21, 11, 27, 30, 28, 29, 31, 32]
J306_9.RCP 51 [1, 4, 2, 9, 7, 5, 8, 25, 6, 18, 16, 3, 13, 12, 10, 19, 14, 26, 11, 21, 20, 22, 17, 23, 28, 24, 15, 27, 30, 29, 31, 32]
J306_10.RCP 61 [1, 2, 4, 7, 3, 11, 5, 13, 6, 18, 9, 15, 8, 12, 16, 14, 20, 25, 21, 17, 26, 10, 31, 24, 22, 19, 28, 27, 23, 30, 29, 32]
J307_1.RCP 55 [1, 2, 4, 6, 7, 5, 8, 9, 28, 21, 20, 10, 3, 15, 22, 11, 12, 14, 13, 16, 24, 25, 17, 19, 23, 26, 18, 29, 27, 31, 30, 32]
J307_2.RCP 42 [1, 4, 2, 3, 9, 5, 10, 17, 7, 11, 27, 14, 8, 6, 19, 13, 18, 20, 12, 15, 23, 21, 22, 16, 24, 28, 25, 29, 26, 30, 31, 32]
J307_3.RCP 42 [1, 2, 4, 3, 5, 18, 8, 11, 20, 9, 6, 13, 7, 16, 14, 23, 17, 10, 12, 25, 15, 19, 27, 26, 22, 21, 24, 28, 30, 29, 31, 32]
J307_4.RCP 44 [1, 4, 2, 3, 5, 9, 15, 11, 7, 6, 12, 13, 14, 18, 16, 10, 21, 23, 26, 8, 27, 19, 25, 22, 24, 28, 17, 29, 20, 30, 31, 32]
J307_5.RCP 44 [1, 2, 3, 4, 7, 10, 5, 17, 12, 6, 24, 14, 16, 13, 21, 18, 11, 19, 23, 15, 20, 9, 27, 25, 26, 8, 22, 29, 28, 30, 31, 32]
J307_6.RCP 35 [1, 4, 3, 2, 14, 10, 6, 5, 18, 8, 12, 21, 22, 15, 24, 7, 17, 16, 26, 9, 20, 19, 25, 28, 11, 13, 23, 27, 29, 31, 30, 32]
J307_7.RCP 50 [1, 3, 2, 4, 6, 8, 9, 15, 5, 10, 7, 22, 11, 12, 21, 16, 14, 23, 20, 26, 13, 18, 28, 24, 17, 29, 25, 19, 27, 30, 31, 32]
