J303_8.RCP 54 [1, 4, 3, 2, 15, 24, 5, 11, 8, 6, 17, 12, 9, 7, 13, 25, 10, 19, 14, 20, 18, 21, 30, 23, 16, 27, 26, 28, 22, 31, 29, 32]
J303_9.RCP 65 [1, 2, 3, 14, 13, 25, 4, 9, 5, 7, 6, 11, 12, 18, 19, 10, 15, 8, 23, 16, 17, 22, 20, 27, 30, 21, 24, 26, 29, 28, 31, 32]
J303_10.RCP 59 [1, 2, 3, 4, 7, 5, 24, 9, 6, 10, 12, 8, 13, 11, 21, 14, 15, 18, 31, 22, 19, 17, 23, 16, 20, 25, 26, 28, 30, 27, 29, 32]
J304_1.RCP 49 [1, 4, 3, 2, 10, 5, 7, 6, 9, 12, 14, 16, 8, 22, 21, 11, 19, 23, 13, 30, 18, 25, 15, 24, 20, 17, 27, 26, 28, 29, 31, 32]
J304_2.RCP 60 [1, 2, 3, 4, 5, 6, 12, 8, 23, 9, 15, 7, 11, 13, 17, 19, 14, 24, 18, 10, 25, 16, 20, 31, 27, 21, 28, 22, 26, 29, 30, 32]
J304_3.RCP 47 [1, 2, 4, 10, 3, 5, 7, 8, 19, 11, 25, 6, 21, 13, 15, 29, 14, 9, 20, 23, 12, 22, 17, 16, 24, 28, 18, 26, 27, 30, 31, 32]
J304_4.RCP 57 [1, 3, 4, 2, 5, 6, 11, 9, 13, 8, 7, 16, 10, 19, 12, 22, 15, 20, 14, 24, 21, 18, 25, 17, 27, 23, 28, 26, 31, 30, 29, 32]
J304_5.RCP 59 [1, 4, 3, 2, 6, 12, 9, 5, 7, 22, 15, 8, 13, 10, 23, 14, 17, 20, 16, 11, 24, 18, 26, 25, 27, 19, 28, 21, 30, 31, 29, 32]
J304_6.RCP 45 [1, 2, 3, 4, 6, 5, 15, 20, 13, 17, 7, 9, 8, 11, 14, 23, 12, 26, 16, 25, 10, 28, 18, 19, 21, 22, 24, 27, 30, 31, 29, 32]
J304_7.RCP 56 [1, 3, 2, 4, 5, 9, 6, 11, 7, 19, 8, 13, 26, 15, 10, 23, 14, 17, 12, 20, 22, 16, 27, 24, 28, 29, 18, 21, 25, 30, 31, 32]
J304_8.RCP 55 [1, 4, 3, 2, 6, 9, 7, 10, 15, 5, 11, 12, 20, 16, 13, 8, 17, 26, 22, 23, 14, 19, 30, 25, 18, 21, 27, 28, 31, 24, 29, 32]
